i,Date,Open,High,Low,Close,Volume,n,vw
0,2021-01-04 09:00:00+00:00,158.3,158.3,158.3,158.3,290,6,158.275345
1,2021-01-04 12:15:00+00:00,158.59,158.59,158.59,158.59,1200,13,158.564825
2,2021-01-04 12:30:00+00:00,158.75,158.75,158.59,158.6,544,9,158.672831
3,2021-01-04 13:00:00+00:00,158.7469,159.0,157.5,158.1,6373,126,158.22607
4,2021-01-04 13:15:00+00:00,158.39,158.47,157.62,157.62,1342,37,158.155343
5,2021-01-04 13:30:00+00:00,157.73,157.89,157.61,157.89,1125,29,157.757653
6,2021-01-04 13:45:00+00:00,157.61,157.79,157.61,157.79,941,28,157.70898
7,2021-01-04 14:00:00+00:00,157.79,157.79,157.79,157.79,2607,43,157.786744
8,2021-01-04 14:15:00+00:00,157.9,157.9,157.1,157.1,5646,276,157.540652
9,2021-01-04 14:30:00+00:00,157.24,157.38,156.04,156.4265,678193,5951,156.865357
10,2021-01-04 14:45:00+00:00,156.39,156.935,156.31,156.79,257457,3900,156.640272
11,2021-01-04 15:00:00+00:00,156.81,156.95,156.31,156.475,211145,3419,156.565221
12,2021-01-04 15:15:00+00:00,156.45,156.49,155.63,155.78,291948,4244,156.025733
13,2021-01-04 15:30:00+00:00,155.78,156.173,155.6,156.125,218187,3429,155.926961
14,2021-01-04 15:45:00+00:00,156.1,156.16,155.52,155.98,283505,4121,155.82627
15,2021-01-04 16:00:00+00:00,155.98,156.2,155.2754,155.86,298942,4275,155.679164
16,2021-01-04 16:15:00+00:00,155.85,155.98,155.56,155.78,332783,4141,155.783004
17,2021-01-04 16:30:00+00:00,155.76,155.76,155.28,155.2953,246673,3377,155.515397
18,2021-01-04 16:45:00+00:00,155.28,155.31,154.3,154.49,419983,5201,154.715322
19,2021-01-04 17:00:00+00:00,154.48,155.0,154.48,154.7635,250626,3394,154.802861
20,2021-01-04 17:15:00+00:00,154.75,155.1,154.55,155.07,243997,3176,154.838039
21,2021-01-04 17:30:00+00:00,155.07,155.1,154.56,154.59,225469,3116,154.829508
22,2021-01-04 17:45:00+00:00,154.59,154.59,154.13,154.3934,226238,3706,154.4295
23,2021-01-04 18:00:00+00:00,154.38,154.68,154.33,154.67,231502,3375,154.552603
24,2021-01-04 18:15:00+00:00,154.67,155.02,154.61,154.9208,258597,3462,154.78076
25,2021-01-04 18:30:00+00:00,154.92,155.18,154.695,155.07,217488,2991,154.950347
